package,version,root_cause
promise,2.3,reason2
psutil,5.8.0,reason2
ptyprocess,0.7.0,reason2
publicsuffixlist,0.7.6,reason2
pulp,2.5.0,reason2
pusher,3.1.0,reason2
py,1.10.0,reason2
py-geth,3.5.0,reason2
py2neo,2021.2.0,reason2
pyang,2.5.0,reason2
pyannotate,1.2.0,reason2
pyasn1,0.4.8,reason1
pyasn1-modules,0.2.8,reason1
pyblish-base,1.8.8,reason2
pycontracts,1.8.12,reason2
pycrypto,2.6.1,reason2
pydevd,2.6.0,"reason1,2"
pydgraph,21.3.0,reason1
pyeapi,0.8.4,reason2
pyee,8.2.2,reason2
pyelasticsearch,1.4.1,reason1
pyexecjs,1.5.1,reason2
pyftpdlib,1.5.6,"reason1,2"
pygatt,4.0.5,reason2
pygsheets,2.0.3.1,reason2
pyhocon,0.3.57,reason2
pyhumps,3.0.2,reason2
pyinotify,0.9.6,"reason1,2"
pykafka,2.8.0,reason1
pylatex,1.4.1,"reason1,2"
pylint,2.11.1,reason2
pylsl,1.15.0,reason2
pymodbus,2.5.1,reason2
pymongo,3.12.0,reason2
pymorphy2,0.9.1,reason2
pympler,0.9,reason2
pynmea2,1.18.0,reason2
pypinyin,0.43.0,reason2
pypubsub,4.0.3,reason2
pyscreenshot,3,reason2
pysdl2,0.9.7,reason2
pyshark,0.4.2.11,reason2
pysnmp,4.4.12,reason1
pyspellchecker,0.6.2,reason2
pytest-services,2.2.1,reason1
python-can,3.3.4,reason2
python-consul,1.1.0,reason2
python-daemon,2.3.0,reason2
python-json-logger,2.0.1,reason2
python-jsonrpc-server,0.4.0,reason2
python-language-server,0.36.2,reason2
python-osc,1.8.0,reason2
python-rapidjson,1.5,reason1
python-resize-image,1.1.19,reason2
python-telegram-bot,13.7,reason2
python-u2flib-server,5.0.1,reason2
python3-openid,3.2.0,reason2
pytz,2021.3,reason2
pyvisa,1.11.3,reason2
pywebview,3.5,reason2
qdarkstyle,3.0.2,reason2
qtconsole,5.1.0,reason1
qtpy,1.11.2,reason2
raven,6.10.0,reason2
rdflib,6.0.1,reason2
rebound,3.18.0,reason2
regex,2021.10.23,reason2
remi,2021.3.2,reason2
reportportal-client,5.0.6,reason2
requests,2.26.0,reason2
requests-futures,1.0.0,reason2
requirementslib,1.5.16,reason2
responses,0.14.0,reason2
rethinkdb,2.4.8,reason2
rich,10.12.0,reason2
robobrowser,0.5.3,reason2
robotframework,4.1.1,reason2
robotframework-requests,0.9.1,reason1
rollbar,0.16.1,reason2
rope,0.21.0,reason2
routes,2.5.1,reason1
rq-scheduler,0.11.0,reason2
rqalpha,4.6.0,reason2
ruamel.yaml,0.17.4,reason2
scapy,2.4.4,reason2
scrapy-redis,0.7.1,reason2
scrapyd,1.2.1,reason2
seleniumbase,2.0.6,reason2
sentry-sdk,1.4.1,reason2
service_identity,21.1.0,reason2
sh,1.14.1,reason1
shadowsocks,2.8.2,reason2
shadowsocks-valoroso,3.0.7,reason2
shellingham,1.4.0,reason2
shodan,1.25.0,reason2
signxml,2.9.0,reason2
simplejson,3.17.2,reason2
simplekv,0.14.1,reason2
slackbot,1.0.0,reason2
snakebite,2.11.0,reason2
snapcast,2.1.1,reason2
sniffio,1.2.0,reason2
sorl-thumbnail,12.7.0,reason2
sortedcontainers,2.4.0,reason2
spacy,3.1.3,reason2
sparqlwrapper,1.8.5,reason2
sphinxcontrib-bibtex,2.4.1,reason2
spinners,0.0.24,reason2
splunk-sdk,1.6.14,"reason1,2"
sqlalchemy-continuum,1.3.11,reason1
sqlalchemy-utils,0.37.2,reason2
srsly,2.4.1,reason2
ssh,1.8.0,reason2
sshpubkeys,3.3.1,reason2
starlette,0.16.0,reason3
stix,1.2.0.11,reason2
strictyaml,1.5.0,reason2
structlog,21.2.0,reason2
summa,1.2.0,reason2
supervisor,4.2.1,reason2
sure,2.0.0,"reason1,2"
svg.path,4.1,reason2
taskcluster,44.2.2,"reason1,2"
telepot,12.7,"reason1,2,3"
tensorflow-hub,0.12.0,reason2
tensorflowonspark,2.2.1,reason2
tensorpack,0.11,reason2
textblob,0.17.1,reason2
textract,1.6.3,reason3
textx,2.3.0,reason2
tgext.pluggable,0.8.4,reason2
thefuck,3.31,reason2
thinc,8.0.3,reason2
tika,1.24,reason2
tinytag,1.6.0,reason2
tld,0.12.3,reason2
tmuxp,1.9.2,reason2
toil,5.5.0,reason2
toml,0.10.2,reason2
tomlkit,0.7.0,reason2
torch-geometric,2.0.0,reason2
torchvision,0.11.1,"reason2,3"
tox,3.24.4,reason2
tqdm,4.62.3,reason2
trafaret,2.1.0,reason2
traitlets,5.1.0,reason1
transitions,0.8.5,reason2
trimesh,3.9.16,reason2
trio,0.19.0,reason2
twitter.common.collections,0.3.11,reason2
twitterapi,2.7.0,reason2
txaio,21.2.1,reason2
typing-extensions,3.10.0.0,"reason1,2"
ubelt,0.10.1,reason2
uncertainties,3.1.5,reason2
uproot,4.1.2,"reason2,3"
urllib3,1.26.2,reason2
urwid,2.1.2,reason2
validators,0.18.1,reason2
vcrpy,4.1.1,reason2
vistir,0.5.2,reason2
vk-api,11.9.1,reason2
vprof,0.38,reason2
web3,5.24.0,reason3
webexteamssdk,1.6,reason2
webob,1.8.6,reason2
websockify,0.10.0,reason2
wechatpy,1.8.14,reason2
werkzeug,2.0.1,reason2
werobot,1.13.0,reason2
wheel,0.37.0,reason2
wsproto,1.0.0,reason2
wtforms-alchemy,0.17.0,"reason1,2"
xhtml2pdf,0.2,reason2
xlsxwriter,3.0.1,reason2
xlwt,1.3.0,reason1
xxhash,2.0.0,reason2
yamale,4.0.1,reason2
yarl,1.7.0,reason1
yaspin,2.1.0,reason2
youtube_dl,2021.6.6,reason2
zenpy,2.0.22,reason2
zeo,5.2.2,reason2
zict,2.0.0,reason2
zxcvbn,4.4.28,reason2
zxcvbn-python,4.4.24,reason2
oauth2client,4.1.3,reason1
python-jose,3.3.0,reason2
typed-ast,1.4.1,"reason1,2"
confluent-kafka,1.7.0,reason2
pygit2,1.7.0,reason2
chatterbot,1.1.0,reason2
azure-eventhub,5.6.0,reason2
bcolz,1.2.1,reason1
fiona,1.8.18,reason2
napalm,3.3.1,reason2
pyscard,2.0.0,"reason1,2"
pytorch-transformers,1.2.0,reason2
rlp,2.0.1,reason2
aredis,1.1.8,reason2
ethereum,2.3.2,reason2
